shortTerm,longTerm,totalReturns,totalTrades,recommendedDifference
36,59,0.284598601055346,29,0.001
4,13,0.284162133112813,28,0.001
32,83,0.28385859499178,12,0.001
31,40,0.283847389386986,99,0.003
16,51,0.283807398630382,10,0.001
6,22,0.283617927598171,11,0.001
33,77,0.28349838164789,37,0.003
36,77,0.282497148709494,17,0.001
47,81,0.282467834984129,27,0.001
11,72,0.282131280044264,8,0.001
32,71,0.282013206132735,28,0.002
15,42,0.28201284923006,8,0.001
21,39,0.28171519299541,11,0.001
5,28,0.281370106796863,7,0.001
9,28,0.281321607961225,31,0.003
22,72,0.281206774672152,8,0.001
18,50,0.281126906749142,12,0.001
30,50,0.280992510559262,16,0.001
60,79,0.280973273707691,20,0.001
30,71,0.280462269399379,28,0.002
34,81,0.280277456892137,38,0.003
41,78,0.280136957832199,23,0.001
9,63,0.279879246640978,6,0.001
32,84,0.279378654347078,11,0.001
24,39,0.279146244566499,33,0.002
27,50,0.278560810521734,18,0.001
5,42,0.278478413102571,18,0.002
38,77,0.2779886478059,19,0.001
14,70,0.277959436081344,4,0.001
28,46,0.277756621301689,16,0.001
31,61,0.277739719713488,54,0.002
36,71,0.277667807033299,26,0.001
13,83,0.27761132024448,9,0.001
33,80,0.277367447566226,35,0.003
24,55,0.27731457536974,42,0.003
17,51,0.27715700511416,9,0.001
4,67,0.27712789664987,47,0.006
33,82,0.276915341761173,34,0.003
10,72,0.276589259921153,15,0.002
35,75,0.276502107826064,21,0.001
29,35,0.276179745578205,48,0.001
48,83,0.276158757490627,14,0.001
32,67,0.276141156206068,42,0.002
15,21,0.275582887773293,33,0.001
14,46,0.275358201377673,51,0.006
3,55,0.275154361809272,13,0.002
35,83,0.275130094047334,16,0.001
10,76,0.27467434480888,7,0.001
25,38,0.274376852608086,22,0.001
14,26,0.274293477630448,69,0.003
19,75,0.274187919091308,13,0.003
18,77,0.274025811701599,17,0.003
25,53,0.273971786073928,15,0.001
15,66,0.273856823601452,26,0.005
54,73,0.273846932592829,15,0.001
10,22,0.273837193770252,20,0.001
14,37,0.273632666869545,31,0.002
12,45,0.273517672962339,16,0.002
6,28,0.273391325577446,6,0.001
6,70,0.273317828459573,14,0.002
29,61,0.273121993774206,61,0.003
15,69,0.273029491903504,4,0.001
47,84,0.272966415848472,12,0.001
23,61,0.272922305782714,36,0.004
29,70,0.27237384744889,14,0.001
5,66,0.271883755319386,11,0.001
37,81,0.271660449781472,19,0.001
